fichier,action,cible_de_fusion,qui_le_lit,ce_qu_il_contient_d_irremplacable,derniere_modif,lignes,motif
ARCHITECTURE.md,garder,,celui qui maintient,oui - les 5 couches et leurs regles,2026-06-14,541,cible; a completer : ignore les trois applications
Applications/ConquerorLab/HANDOFF.md,fusionner,Applications/ConquerorLab/SPECIFICATION.md,agent de l application,a verifier au cas par cas,2026-08-08,297,quatrieme fichier de l application
Applications/ConquerorLab/README.md,garder,,celui qui utilise l application,oui,2026-08-17,272,cible README
Applications/ConquerorLab/ROADMAP.md,garder,,celui qui decide,OUI - etat reel et decisions datees,2026-08-17,262,cible ROADMAP
Applications/ConquerorLab/exemples/README.md,fusionner,Applications/ConquerorLab/SPECIFICATION.md,agent de l application,a verifier au cas par cas,2026-08-17,129,quatrieme fichier de l application
Applications/ConquerorProto/README.md,garder,,celui qui utilise l application,oui,2026-08-08,68,cible README
Applications/Model/cours1.md,fusionner,Applications/Model/SPECIFICATION.md,agent de l application,a verifier au cas par cas,2026-04-10,1110,quatrieme fichier de l application
Applications/Model/cours2.md,fusionner,Applications/Model/SPECIFICATION.md,agent de l application,a verifier au cas par cas,2026-04-10,1085,quatrieme fichier de l application
Applications/Model/cours3.md,fusionner,Applications/Model/SPECIFICATION.md,agent de l application,a verifier au cas par cas,2026-06-14,779,quatrieme fichier de l application
Applications/Mou/DESIGN_STYLE_GUIDE.md,fusionner,Applications/Mou/SPECIFICATION.md,agent de l application,a verifier au cas par cas,2026-08-21,160,quatrieme fichier de l application
Applications/Mou/docs/00-plateforme-gdd.md,garder,,agent qui reprend / testeur,OUI - etat exact a une date,2026-06-22,205,"passation, GDD ou notice de temoin : contenu non reconstructible"
Applications/Mou/docs/01-couleurs-gdd.md,garder,,agent qui reprend / testeur,OUI - etat exact a une date,2026-06-22,90,"passation, GDD ou notice de temoin : contenu non reconstructible"
Applications/Mou/docs/02-compter-gdd.md,garder,,agent qui reprend / testeur,OUI - etat exact a une date,2026-06-22,70,"passation, GDD ou notice de temoin : contenu non reconstructible"
Applications/Mou/docs/03-calcul-gdd.md,garder,,agent qui reprend / testeur,OUI - etat exact a une date,2026-06-22,67,"passation, GDD ou notice de temoin : contenu non reconstructible"
Applications/Mou/docs/04-elements-culturels.md,fusionner,Applications/Mou/SPECIFICATION.md,agent de l application,a verifier au cas par cas,2026-06-22,149,quatrieme fichier de l application
Applications/Mou/docs/05-audio-script.md,fusionner,Applications/Mou/SPECIFICATION.md,agent de l application,a verifier au cas par cas,2026-06-22,207,quatrieme fichier de l application
Applications/Mou/docs/06-effets-audio.md,fusionner,Applications/Mou/SPECIFICATION.md,agent de l application,a verifier au cas par cas,2026-06-22,123,quatrieme fichier de l application
Applications/Mou/docs/07-suno-prompts.md,fusionner,Applications/Mou/SPECIFICATION.md,agent de l application,a verifier au cas par cas,2026-06-22,144,quatrieme fichier de l application
Applications/NK3DModeler/ETAT_DES_LIEUX.md,fusionner,Applications/NK3DModeler/SPECIFICATION.md,agent de l application,a verifier au cas par cas,2026-08-08,598,quatrieme fichier de l application
Applications/NK3DModeler/PASSATION_2026_08_08.md,garder,,agent qui reprend / testeur,OUI - etat exact a une date,2026-08-08,397,"passation, GDD ou notice de temoin : contenu non reconstructible"
Applications/NK3DModeler/ROADMAP.md,garder,,celui qui decide,OUI - etat reel et decisions datees,2026-08-23,3481,cible ROADMAP
Applications/NK3DModeler/data/splash/LISEZMOI.md,garder,,agent qui reprend / testeur,OUI - etat exact a une date,2026-08-08,50,"passation, GDD ou notice de temoin : contenu non reconstructible"
Applications/NK3DModeler/docs/BRIEF_BANANI.md,fusionner,Applications/NK3DModeler/SPECIFICATION.md,agent de l application,a verifier au cas par cas,2026-08-08,708,quatrieme fichier de l application
Applications/NK3DModeler/docs/PORTAGE_DEMO3D.md,fusionner,Applications/NK3DModeler/SPECIFICATION.md,agent de l application,a verifier au cas par cas,2026-08-08,214,quatrieme fichier de l application
Applications/NK3DModeler/docs/SPECIFICATION.md,garder,,celui qui maintient,oui - dit le POURQUOI,2026-08-08,458,cible SPECIFICATION
Applications/NK3DModeler/docs/UI_SPEC.md,fusionner,Applications/NK3DModeler/SPECIFICATION.md,agent de l application,a verifier au cas par cas,2026-08-08,671,quatrieme fichier de l application
Applications/NK3DModeler/docs/VUE3D_BARRE_OUTILS.md,fusionner,Applications/NK3DModeler/SPECIFICATION.md,agent de l application,a verifier au cas par cas,2026-08-08,121,quatrieme fichier de l application
Applications/NKCode/ARCHITECTURE.md,fusionner,Applications/NKCode/SPECIFICATION.md,agent de l application,a verifier au cas par cas,2026-06-22,162,quatrieme fichier de l application
Applications/NKCode/DESIGN_MULTICHAT_IA.md,fusionner,Applications/NKCode/SPECIFICATION.md,agent de l application,a verifier au cas par cas,2026-07-30,175,quatrieme fichier de l application
Applications/NKCode/README.md,garder,,celui qui utilise l application,oui,2026-06-28,74,cible README
Applications/NKCode/RELEASE_NOTES_beta2.md,fusionner,Applications/NKCode/SPECIFICATION.md,agent de l application,a verifier au cas par cas,2026-07-30,79,quatrieme fichier de l application
Applications/NKCode/ROADMAP.md,garder,,celui qui decide,OUI - etat reel et decisions datees,2026-08-15,678,cible ROADMAP
Applications/NKCode/docs/ZIG-APPLE-TOOLCHAIN.md,fusionner,Applications/NKCode/SPECIFICATION.md,agent de l application,a verifier au cas par cas,2026-07-04,188,quatrieme fichier de l application
