fichier,octets,lignes,derniere_modif
ARCHITECTURE.md,19121,541,2026-06-14
Applications/ConquerorLab/HANDOFF.md,14836,297,2026-08-08
Applications/ConquerorLab/README.md,17136,272,2026-08-17
Applications/ConquerorLab/ROADMAP.md,13526,262,2026-08-17
Applications/ConquerorLab/exemples/README.md,5837,129,2026-08-17
Applications/ConquerorProto/README.md,3002,68,2026-08-08
Applications/Model/cours1.md,32269,1110,2026-04-10
Applications/Model/cours2.md,30073,1085,2026-04-10
Applications/Model/cours3.md,31816,779,2026-06-14
Applications/Mou/DESIGN_STYLE_GUIDE.md,7252,160,2026-08-21
Applications/Mou/docs/00-plateforme-gdd.md,9211,205,2026-06-22
Applications/Mou/docs/01-couleurs-gdd.md,3851,90,2026-06-22
Applications/Mou/docs/02-compter-gdd.md,2332,70,2026-06-22
Applications/Mou/docs/03-calcul-gdd.md,2561,67,2026-06-22
Applications/Mou/docs/04-elements-culturels.md,6933,149,2026-06-22
Applications/Mou/docs/05-audio-script.md,9112,207,2026-06-22
Applications/Mou/docs/06-effets-audio.md,6847,123,2026-06-22
Applications/Mou/docs/07-suno-prompts.md,6692,144,2026-06-22
Applications/NK3DModeler/ETAT_DES_LIEUX.md,34455,598,2026-08-08
Applications/NK3DModeler/PASSATION_2026_08_08.md,21710,397,2026-08-08
Applications/NK3DModeler/ROADMAP.md,200632,3481,2026-08-23
Applications/NK3DModeler/data/splash/LISEZMOI.md,2041,50,2026-08-08
Applications/NK3DModeler/docs/BRIEF_BANANI.md,38758,708,2026-08-08
Applications/NK3DModeler/docs/PORTAGE_DEMO3D.md,10112,214,2026-08-08
Applications/NK3DModeler/docs/SPECIFICATION.md,24823,458,2026-08-08
Applications/NK3DModeler/docs/UI_SPEC.md,35676,671,2026-08-08
Applications/NK3DModeler/docs/VUE3D_BARRE_OUTILS.md,6491,121,2026-08-08
Applications/NKCode/ARCHITECTURE.md,8825,162,2026-06-22
Applications/NKCode/DESIGN_MULTICHAT_IA.md,8395,175,2026-07-30
Applications/NKCode/README.md,4314,74,2026-06-28
